seed,goal_reached,path_length,nodes,loops,time
45864,1,29,178,178,0.0001881122589111328
45865,1,29,178,178,0.00018906593322753906
45866,1,29,179,179,0.00024771690368652344
45867,1,29,180,180,0.00020694732666015625
45868,1,29,179,179,0.00019884109497070312
45869,1,29,179,179,0.00018930435180664062
45871,1,29,178,175,0.0001876354217529297
45873,1,29,178,178,0.00017905235290527344
45874,1,29,180,180,0.00018835067749023438
45875,1,29,178,178,0.0001842975616455078
45876,1,29,179,179,0.000179290771484375
45878,1,29,178,178,0.00017976760864257812
45879,1,29,180,180,0.0001819133758544922
45880,1,29,180,180,0.00018143653869628906
45881,1,29,179,178,0.0001811981201171875
45883,1,29,180,180,0.00017905235290527344
45885,1,29,180,180,0.00017905235290527344
45887,1,29,180,180,0.0001785755157470703
45888,1,31,180,179,0.0001800060272216797
45889,1,29,172,172,0.0001735687255859375
45891,1,29,177,177,0.00017762184143066406
45892,1,29,178,178,0.00018024444580078125
45893,1,29,178,178,0.00017952919006347656
45894,1,29,178,178,0.0001850128173828125
45895,1,29,180,180,0.0001838207244873047
45896,1,29,179,178,0.0001780986785888672
45897,1,31,179,175,0.00018215179443359375
45898,1,29,178,178,0.00018262863159179688
45899,1,29,175,172,0.00017642974853515625
45900,1,29,180,180,0.00018286705017089844
45902,1,29,179,179,0.00018310546875
45903,1,29,177,177,0.00018072128295898438
45904,1,29,180,180,0.0001857280731201172
45906,1,31,179,179,0.000179290771484375
45907,1,29,179,179,0.0001800060272216797
45908,1,29,179,179,0.000179290771484375
45909,1,29,178,176,0.00017952919006347656
45911,1,29,174,174,0.00017595291137695312
45912,1,29,180,180,0.0001800060272216797
45913,1,29,180,180,0.0001888275146484375
45914,1,29,180,180,0.00018072128295898438
45916,1,29,179,179,0.0001804828643798828
45917,1,29,178,177,0.00017952919006347656
45918,1,29,180,180,0.0001811981201171875
45919,1,29,180,180,0.0001823902130126953
45920,1,29,180,180,0.0001819133758544922
45921,1,29,180,180,0.00018644332885742188
45924,1,29,180,180,0.0001811981201171875
45925,1,29,179,179,0.0001804828643798828
45926,1,29,176,176,0.0001773834228515625
45927,1,29,179,179,0.00018024444580078125
45928,1,29,180,178,0.00018930435180664062
45929,1,29,178,176,0.000186920166015625
45930,1,29,179,179,0.00019788742065429688
45931,1,29,179,179,0.00018739700317382812
45933,1,29,180,180,0.00018286705017089844
45935,1,29,179,179,0.00018835067749023438
45936,1,29,176,176,0.00017762184143066406
45937,1,29,169,162,0.00016260147094726562
45938,1,29,180,180,0.00018262863159179688
45940,1,29,180,179,0.0001811981201171875
45941,1,29,170,169,0.00017213821411132812
45942,1,29,180,180,0.00018358230590820312
45943,1,29,180,180,0.00019502639770507812
45944,1,29,180,180,0.0001914501190185547
45945,1,29,180,179,0.0001926422119140625
45947,1,29,177,177,0.00017762184143066406
45948,1,29,178,178,0.00018668174743652344
45949,1,29,178,178,0.0001850128173828125
45950,1,29,180,180,0.0001919269561767578
45952,1,29,177,177,0.0001881122589111328
45953,1,29,176,176,0.00017690658569335938
45954,1,29,171,166,0.00016951560974121094
45955,1,29,179,179,0.00018334388732910156
45956,1,29,176,176,0.00017786026000976562
45958,1,29,180,180,0.00018215179443359375
45959,1,29,180,180,0.00018858909606933594
45960,1,29,180,180,0.00019168853759765625
45961,1,29,180,180,0.000194549560546875
45962,1,29,180,180,0.0001933574676513672
45963,1,29,180,177,0.00018453598022460938
45964,1,29,180,180,0.00018739700317382812
45965,1,29,179,179,0.0001926422119140625
45967,1,29,180,180,0.00018143653869628906
45968,1,29,177,177,0.00018906593322753906
45969,1,29,179,179,0.0001823902130126953
45971,1,29,175,175,0.00017952919006347656
45972,1,29,178,178,0.00018167495727539062
45973,1,29,180,180,0.00018095970153808594
45974,1,29,180,180,0.000194549560546875
45976,1,29,179,178,0.00018024444580078125
45977,1,29,179,179,0.00018286705017089844
45978,1,29,180,180,0.00018334388732910156
45979,1,29,166,165,0.00017595291137695312
45980,1,29,179,178,0.0001900196075439453
45981,1,29,179,178,0.00019025802612304688
45982,1,29,179,179,0.0001995563507080078
45983,1,29,179,179,0.00019812583923339844
45984,1,29,179,179,0.00019216537475585938
45985,1,29,180,180,0.0001938343048095703
45986,1,29,168,165,0.00017881393432617188
45987,1,29,179,179,0.00018906593322753906
45988,1,29,177,177,0.00018835067749023438
45989,1,29,179,179,0.0001933574676513672
45990,1,29,179,179,0.00018978118896484375
45991,1,29,180,180,0.00018787384033203125
45992,1,29,178,178,0.00017881393432617188
45993,1,29,180,180,0.00019121170043945312
45994,1,29,180,180,0.00018310546875
45995,1,29,175,175,0.00017571449279785156
45996,1,29,179,179,0.0001900196075439453
45997,1,29,180,180,0.0002067089080810547
45998,1,29,180,180,0.0002503395080566406
46000,1,29,165,165,0.00019168853759765625
46001,1,29,179,179,0.00018715858459472656
46002,1,29,179,179,0.0001811981201171875
46003,1,29,180,180,0.00017952919006347656
46004,1,29,179,179,0.0001819133758544922
46005,1,29,178,178,0.0002377033233642578
46006,1,29,179,179,0.00018167495727539062
46007,1,29,180,180,0.00018334388732910156
46008,1,29,178,177,0.00018596649169921875
46009,1,29,180,179,0.0001857280731201172
46010,1,29,180,180,0.00019598007202148438
46011,1,29,175,173,0.00018334388732910156
46012,1,29,180,180,0.0001785755157470703
46013,1,29,179,179,0.000179290771484375
